timestamp,crowd_count,frame_name,frame_index,is_synthetic,hour,minute,day_of_week,day_name,is_weekend,day_of_month,month,year,is_holiday
2025-10-28 21:44:15,65.4,,,1,21,44,1,Tuesday,0,28,10,2025,0
2025-10-28 21:59:15,57.51,,,1,21,59,1,Tuesday,0,28,10,2025,0
2025-10-28 22:14:15,53.45,,,1,22,14,1,Tuesday,0,28,10,2025,0
2025-10-28 22:29:15,53.45,,,1,22,29,1,Tuesday,0,28,10,2025,0
2025-10-28 22:44:15,53.45,,,1,22,44,1,Tuesday,0,28,10,2025,0
2025-10-28 22:59:15,53.45,,,1,22,59,1,Tuesday,0,28,10,2025,0
2025-10-28 23:14:15,53.45,,,1,23,14,1,Tuesday,0,28,10,2025,0
2025-10-28 23:29:15,53.45,,,1,23,29,1,Tuesday,0,28,10,2025,0
2025-10-28 23:44:15,53.45,,,1,23,44,1,Tuesday,0,28,10,2025,0
2025-10-28 23:59:15,53.45,,,1,23,59,1,Tuesday,0,28,10,2025,0
2025-10-29 00:14:15,53.45,,,1,0,14,2,Wednesday,0,29,10,2025,0
2025-10-29 00:29:15,53.45,,,1,0,29,2,Wednesday,0,29,10,2025,0
2025-10-29 00:44:15,53.45,,,1,0,44,2,Wednesday,0,29,10,2025,0
2025-10-29 00:59:15,53.45,,,1,0,59,2,Wednesday,0,29,10,2025,0
2025-10-29 01:14:15,53.45,,,1,1,14,2,Wednesday,0,29,10,2025,0
2025-10-29 01:29:15,53.45,,,1,1,29,2,Wednesday,0,29,10,2025,0
2025-10-29 01:44:15,53.45,,,1,1,44,2,Wednesday,0,29,10,2025,0
2025-10-29 01:59:15,53.45,,,1,1,59,2,Wednesday,0,29,10,2025,0
2025-10-29 02:14:15,53.45,,,1,2,14,2,Wednesday,0,29,10,2025,0
2025-10-29 02:29:15,53.45,,,1,2,29,2,Wednesday,0,29,10,2025,0
2025-10-29 02:44:15,53.45,,,1,2,44,2,Wednesday,0,29,10,2025,0
